MasterID,COMID,yr,csci_sampledate,Constraint_class,County,SMC_region,Regional_board,pChem,pHab,pOverall,biological_condition,stress_condition,SQI,ASCI,blc,bs,Cond,CSCI,Ev_FlowHab,H_AqHab,H_SubNat,hy,CRAM,IPI,PCT_SAFN,ps,TN,TP,XCMG,lon,lat,ASCI_ptile,blc_ptile,bs_ptile,Cond_ptile,CRAM_ptile,CSCI_ptile,Ev_FlowHab_ptile,H_AqHab_ptile,H_SubNat_ptile,hy_ptile,IPI_ptile,PCT_SAFN_ptile,ps_ptile,TN_ptile,TP_ptile,XCMG_ptile
412WE0552,22514712,2020,8/5/2020,possibly unconstrained,Los Angeles,Los Angeles,Los Angeles,0.539357846,2.22E-16,0.539357846,Impacted for ASCI,Low stress,Impacted by unknown stress,0.81,93.3,77.8,430,1.11,0.95,1.82,1.8,83.3,79,1.21,29,62.5,0.09,0.09,136,-118.18059,34.23908,0.640650407,0.769105691,0.790243902,0.204878049,0.687804878,0.941463415,0.946341463,0.941463415,0.817886179,0.821138211,0.993495935,0.447154472,0.482926829,0.149593496,0.630894309,0.764227642
SMC05020,22514774,2020,8/5/2020,possibly unconstrained,Los Angeles,Los Angeles,Los Angeles,0.620388901,2.22E-16,0.620388901,Impacted for ASCI,Low stress,Impacted by unknown stress,0.82,100,47.2,434.2,1.04,0.42,1.66,1.61,91.7,75,1,10,62.5,0.13,0.12,106,-118.17657,34.23202,0.655284553,1,0.242276423,0.211382114,0.595121951,0.881300813,0.263414634,0.82601626,0.608130081,0.887804878,0.682926829,0.178861789,0.482926829,0.2,0.707317073,0.552845528
SMC05640,22514620,2020,7/28/2020,possibly unconstrained,Los Angeles,Los Angeles,Los Angeles,0.513477691,2.22E-16,0.513477691,Impacted for ASCI,Low stress,Impacted by unknown stress,0.51,93.3,83.3,374.2,1.11,0.84,1.9,1.85,83.3,84,1.18,29,75,0.06,0.1,124,-118.22203,34.28233,0.203252033,0.769105691,0.902439024,0.167479675,0.834146341,0.941463415,0.861788618,0.978861789,0.887804878,0.821138211,0.983739837,0.447154472,0.780487805,0.125203252,0.653658537,0.671544715
SMC06216,22514628,2020,7/28/2020,possibly unconstrained,Los Angeles,Los Angeles,Los Angeles,0.67898028,2.22E-16,0.67898028,Impacted for ASCI,Low stress,Impacted by unknown stress,0.69,90.3,80.6,570,0.98,0.37,1.75,1.64,83.3,76,0.96,14,50,0.25,0.09,90,-118.31518,34.27407,0.460162602,0.559349593,0.856910569,0.258536585,0.616260163,0.804878049,0.22601626,0.899186992,0.632520325,0.821138211,0.590243902,0.245528455,0.37398374,0.315447154,0.630894309,0.432520325
412CE0232,22515812,2020,7/14/2020,likely constrained,Los Angeles,Los Angeles,Los Angeles,0.949694117,3.23E-06,0.94969428,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.41,62.5,25,960,0.6,0.24,0,0.9,33.3,36,0.28,7,25,6.26,0.1,0,-118.45624,34.15907,0.07804878,0.16097561,0.108943089,0.421138211,0.087804878,0.279674797,0.149593496,0.045528455,0.18699187,0.089430894,0.089430894,0.130081301,0.144715447,0.902439024,0.653658537,0.040650407
SMC01208,22514892,2020,7/14/2020,likely constrained,Los Angeles,Los Angeles,Los Angeles,0.976491339,2.22E-16,0.976491339,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.71,67.7,25,1614,0.46,0,0,0.21,33.3,38,0.12,18,25,5.24,0.04,0,-118.5365,34.19015,0.484552846,0.245528455,0.108943089,0.695934959,0.120325203,0.13495935,0.084552846,0.045528455,0.086178862,0.089430894,0.030894309,0.300813008,0.144715447,0.873170732,0.458536585,0.040650407
404R4S041,20364671,2020,7/14/2020,possibly constrained,Ventura,Santa Monica Bay,Los Angeles,0.99982065,2.22E-16,0.99982065,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.36,58.5,66.7,3410.2,0.57,0.42,1.44,0.69,75,69,0.6,84,75,1.56,0.13,114,-118.78804,34.18746,0.047154472,0.125203252,0.567479675,0.930081301,0.430894309,0.242276423,0.263414634,0.539837398,0.146341463,0.647154472,0.18699187,0.93495935,0.780487805,0.687804878,0.72195122,0.611382114
ME-VR2,948070372,2020,7/1/2020,NA,Ventura,Ventura,Los Angeles,0.635706356,2.22E-16,0.635706356,Impacted for ASCI,Low stress,Impacted by unknown stress,0.64,80.6,75,1097,0.93,0.9,1.86,1.95,83.3,75,1.15,43,62.5,0.56,0.01,90,-119.29948,34.34584,0.393495935,0.383739837,0.754471545,0.489430894,0.595121951,0.738211382,0.918699187,0.965853659,0.957723577,0.821138211,0.962601626,0.629268293,0.482926829,0.502439024,0.198373984,0.432520325
403M01625,17569923,2020,6/30/2020,possibly unconstrained,Ventura,Santa Clara,Los Angeles,0.387903051,2.22E-16,0.387903051,Healthy,Low stress,Healthy and unstressed,1.06,100,80.6,818,0.95,0.65,1.83,1.83,100,89,1.09,35,75,0,0.02,96,-118.77994,34.57002,0.904065041,1,0.856910569,0.351219512,0.949593496,0.769105691,0.564227642,0.94796748,0.861788618,1,0.86504065,0.528455285,0.780487805,0.082926829,0.302439024,0.482926829
408M03175,17562598,2020,6/25/2020,likely constrained,Ventura,Calleguas,Los Angeles,0.99986769,2.22E-16,0.99986769,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.34,75,63.9,1752,0.39,0.68,1.58,1.89,58.3,62,0.88,44,50,8.1,4.5,67,-119.00424,34.19165,0.040650407,0.302439024,0.499186992,0.731707317,0.266666667,0.063414634,0.617886179,0.717073171,0.920325203,0.317073171,0.432520325,0.63902439,0.37398374,0.938211382,0.998373984,0.326829268
ME-CC,17562626,2020,6/25/2020,likely constrained,Ventura,Calleguas,Los Angeles,0.999457567,2.22E-16,0.999457567,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.41,67.7,72.2,1588,0.58,0.59,1.51,0.72,75,63,0.77,95,37.5,5.5,2,99,-119.03968,34.17912,0.07804878,0.245528455,0.710569106,0.681300813,0.282926829,0.255284553,0.468292683,0.621138211,0.154471545,0.647154472,0.289430894,0.975609756,0.196747967,0.879674797,0.970731707,0.502439024
402M00130,17586974,2020,6/18/2020,possibly constrained,Ventura,Ventura,Los Angeles,0.958385407,2.22E-16,0.958385407,Impacted for ASCI,Stressed by chemistry degradation,Impacted and stressed,0.43,93.3,63.9,1271,0.89,0.86,1.57,1.88,75,77,1.13,37,75,1.1,0.11,104,-119.30314,34.30178,0.097560976,0.769105691,0.499186992,0.570731707,0.634146341,0.676422764,0.882926829,0.699186992,0.915447154,0.647154472,0.931707317,0.549593496,0.780487805,0.629268293,0.674796748,0.536585366
403S00271,NA,2020,6/18/2020,NA,Ventura,Santa Clara,Los Angeles,0.230612687,2.22E-16,0.230612687,Healthy,Low stress,Healthy and unstressed,0.93,100,69.4,593.9,0.92,0.65,1.77,1.71,83.3,85,1.08,24,87.5,0,0.01,117,-119.16547,34.5485,0.782113821,1,0.650406504,0.266666667,0.863414634,0.72195122,0.564227642,0.908943089,0.712195122,0.821138211,0.840650407,0.375609756,0.86504065,0.082926829,0.198373984,0.640650407
408M03143,948070332,2020,6/17/2020,NA,Ventura,Calleguas,Los Angeles,0.982343403,2.22E-16,0.982343403,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.49,34.2,55.6,1500,0.73,0.41,1.63,1.76,66.7,52,0.93,47,50,4.4,0.09,105,-118.95714,34.16891,0.17398374,0.061788618,0.344715447,0.656910569,0.177235772,0.458536585,0.250406504,0.77398374,0.767479675,0.375609756,0.52195122,0.663414634,0.37398374,0.850406504,0.630894309,0.546341463
403M01629,17572895,2020,6/15/2020,possibly unconstrained,Ventura,Santa Clara,Los Angeles,0.621048536,2.22E-16,0.621048536,Healthy,Low stress,Healthy and unstressed,0.83,78.5,50,897,0.83,0.8,0.97,1.34,75,67,0.73,40,62.5,0,0.05,31,-119.0707,34.38748,0.663414634,0.308943089,0.268292683,0.385365854,0.38699187,0.604878049,0.801626016,0.208130081,0.36097561,0.647154472,0.240650407,0.596747967,0.482926829,0.082926829,0.512195122,0.190243902
403M01661,17573683,2020,6/15/2020,possibly unconstrained,Ventura,Santa Clara,Los Angeles,0.862535303,2.22E-16,0.862535303,Healthy,Low stress,Healthy and unstressed,0.87,93.3,50,1638,0.96,0.56,1.45,1.58,75,67,0.86,60,50,1,0.01,96,-119.09618,34.30608,0.717073171,0.769105691,0.268292683,0.707317073,0.38699187,0.788617886,0.422764228,0.552845528,0.575609756,0.647154472,0.401626016,0.804878049,0.37398374,0.614634146,0.198373984,0.482926829
404M04672,20364671,2020,6/9/2020,possibly constrained,Ventura,Santa Monica Bay,Los Angeles,0.999264572,2.22E-16,0.999264572,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.54,86.4,77.8,2789,0.72,0.78,1.6,1.23,91.7,83,0.81,69,75,2.4,0.12,125,-118.7893,34.1868,0.240650407,0.456910569,0.790243902,0.882926829,0.806504065,0.440650407,0.778861789,0.744715447,0.302439024,0.887804878,0.328455285,0.858536585,0.780487805,0.770731707,0.707317073,0.682926829
402M00090,17586682,2020,6/4/2020,possibly unconstrained,Ventura,Ventura,Los Angeles,0.279451276,2.22E-16,0.279451276,Impacted for ASCI,Low stress,Impacted by unknown stress,0.72,90.3,47.2,964,0.91,0.91,1.48,1.8,83.3,68,0.97,20,50,0,0,49,-119.29046,34.4462,0.508943089,0.559349593,0.242276423,0.42601626,0.41300813,0.710569106,0.923577236,0.578861789,0.817886179,0.821138211,0.629268293,0.323577236,0.37398374,0.082926829,0.100813008,0.23902439
402M00094,17586650,2020,6/4/2020,possibly unconstrained,Ventura,Ventura,Los Angeles,0.265427947,2.22E-16,0.265427947,Impacted for ASCI,Low stress,Impacted by unknown stress,0.77,93.3,47.2,959,0.96,0.65,1.55,1.66,75,66,0.85,17,50,0,0,41,-119.29949,34.4411,0.578861789,0.769105691,0.242276423,0.417886179,0.354471545,0.788617886,0.564227642,0.674796748,0.660162602,0.647154472,0.385365854,0.292682927,0.37398374,0.082926829,0.100813008,0.222764228
403M01575,17567407,2020,6/3/2020,likely unconstrained,Ventura,Santa Clara,Los Angeles,0.849250425,2.22E-16,0.849250425,Impacted for ASCI,Low stress,Impacted by unknown stress,0.75,93.3,55.6,1912,0.81,0.91,1.93,1.05,91.7,73,1.01,74,50,0,0.01,84,-119.1127,34.64892,0.552845528,0.769105691,0.344715447,0.769105691,0.528455285,0.578861789,0.923577236,0.988617886,0.237398374,0.887804878,0.697560976,0.882926829,0.37398374,0.082926829,0.198373984,0.408130081
SMC00318,22518274,2019,8/7/2019,likely constrained,Los Angeles,Los Angeles,Los Angeles,0.962993696,0.009190349,0.963333797,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.52,67.7,25,1007,0.43,0.47,0.64,1.04,33.3,38,0.45,2,25,3.47,0.16,5,-118.20558,33.81287,0.216260163,0.245528455,0.108943089,0.453658537,0.120325203,0.092682927,0.312195122,0.120325203,0.227642276,0.089430894,0.131707317,0.073170732,0.144715447,0.822764228,0.762601626,0.094308943
ME-VR2,948070372,2019,7/31/2019,NA,Ventura,Ventura,Los Angeles,0.633106922,2.22E-16,0.633106922,Impacted for CSCI and ASCI,Low stress,Impacted by unknown stress,0.57,80.6,72.2,1021,0.74,0.75,1.69,1.73,83.3,68,1.13,48,37.5,0.93,0.01,116,-119.29948,34.34584,0.292682927,0.383739837,0.710569106,0.458536585,0.41300813,0.468292683,0.746341463,0.850406504,0.73495935,0.821138211,0.931707317,0.673170732,0.196747967,0.601626016,0.198373984,0.632520325
412S04204,22514858,2019,7/30/2019,possibly unconstrained,Los Angeles,Los Angeles,Los Angeles,0.767296639,2.22E-16,0.767296639,Healthy,Low stress,Healthy and unstressed,0.99,93.3,58.3,404.3,1.02,0.5,0.65,2.01,100,75,0.76,21,50,0.28,0.2,65,-118.01853,34.20358,0.835772358,0.769105691,0.422764228,0.190243902,0.595121951,0.86504065,0.346341463,0.126829268,0.991869919,1,0.276422764,0.341463415,0.37398374,0.344715447,0.824390244,0.318699187
408M03111,17562626,2019,7/25/2019,likely constrained,Ventura,Calleguas,Los Angeles,0.999850906,2.22E-16,0.999850906,Impacted for ASCI,Stressed by chemistry degradation,Impacted and stressed,0.25,78.5,66.7,1764,0.83,0.73,1.24,0.45,75,64,0.67,96,37.5,11,3.5,76,-119.03278,34.18105,0.009756098,0.308943089,0.567479675,0.736585366,0.305691057,0.604878049,0.708943089,0.346341463,0.104065041,0.647154472,0.216260163,0.977235772,0.196747967,0.970731707,0.993495935,0.362601626
ME-CC,17562626,2019,7/25/2019,likely constrained,Ventura,Calleguas,Los Angeles,0.999846614,2.22E-16,0.999846614,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.27,62.5,80.6,1778,0.55,0.81,0.92,1.31,75,67,0.77,82,50,11,3.3,62,-119.03968,34.17912,0.01300813,0.16097561,0.856910569,0.741463415,0.38699187,0.211382114,0.822764228,0.191869919,0.344715447,0.647154472,0.289430894,0.923577236,0.37398374,0.970731707,0.98699187,0.304065041
412WE0552,22514712,2019,7/23/2019,possibly unconstrained,Los Angeles,Los Angeles,Los Angeles,0.694970626,2.22E-16,0.694970626,Healthy,Low stress,Healthy and unstressed,0.98,93.3,63.9,419.2,0.98,0.54,1.65,1.52,83.3,76,1.06,11,62.5,0.49,0.12,123,-118.18059,34.23908,0.82601626,0.769105691,0.499186992,0.196747967,0.616260163,0.804878049,0.390243902,0.808130081,0.508943089,0.821138211,0.793495935,0.198373984,0.482926829,0.474796748,0.707317073,0.666666667
412M08646,22515818,2019,7/16/2019,likely constrained,Los Angeles,Los Angeles,Los Angeles,0.797588437,0.000171709,0.797623193,Impacted for CSCI and ASCI,Low stress,Impacted by unknown stress,0.71,62.5,25,522,0.64,0.26,0,0,33.3,36,0.15,1,25,3.5,0.07,10,-118.08133,34.1289,0.484552846,0.16097561,0.108943089,0.237398374,0.087804878,0.339837398,0.154471545,0.045528455,0.069918699,0.089430894,0.045528455,0.061788618,0.144715447,0.82601626,0.567479675,0.130081301
412M08647,22514600,2019,7/16/2019,possibly unconstrained,Los Angeles,Los Angeles,Los Angeles,0.467975342,2.22E-16,0.467975342,Impacted for ASCI,Low stress,Impacted by unknown stress,0.66,100,47.2,518,0.88,0.61,0.93,1.75,100,74,0.75,35,50,0.24,0.04,26,-118.30172,34.27872,0.41300813,1,0.242276423,0.235772358,0.559349593,0.66504065,0.505691057,0.195121951,0.757723577,1,0.26504065,0.528455285,0.37398374,0.310569106,0.458536585,0.180487805
412CE0232,22515812,2019,7/15/2019,likely constrained,Los Angeles,Los Angeles,Los Angeles,0.90704748,4.79E-06,0.907047926,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.31,62.5,25,736,0.71,0.66,0.19,0,33.3,36,0.28,5,25,7,0.09,4,-118.45624,34.15907,0.029268293,0.16097561,0.108943089,0.317073171,0.087804878,0.42601626,0.578861789,0.060162602,0.069918699,0.089430894,0.089430894,0.105691057,0.144715447,0.92195122,0.630894309,0.073170732
412M08645,22515734,2019,7/15/2019,NA,Los Angeles,Los Angeles,Los Angeles,0.967345165,2.22E-16,0.967345165,Impacted for CSCI,Stressed by chemistry degradation,Impacted and stressed,0.96,67.7,69.4,949,0.68,0.81,1.44,1.02,50,56,0.8,70,37.5,3.6,0.2,106,-118.50195,34.28922,0.811382114,0.245528455,0.650406504,0.41300813,0.208130081,0.388617886,0.822764228,0.539837398,0.21300813,0.206504065,0.315447154,0.868292683,0.196747967,0.829268293,0.824390244,0.552845528
